doc_id,filename,page,n_chars,text
1,26RS - HJ 0309 1.PDF#page=11.pdf,1,5190,"Page 11 HOUSE

1st Day's Proceedings - March 9, 2026

HOUSE BILL NO. 5—

BY REPRESENTATIVES MIKE JOHNSON,BUTLER, DEWITT, FIRMENT,

OWEN, AND SCHAMERHORN

AN ACT

To enact R.S. 30:4(C)(17)(c), 1104(F), and 1104.3, relative to carbon

dioxide sequestration and pipeline permitting determinations by

parishes; to authorize parish governing authorities to determine

whether Class VI injection wells, carbon dioxide sequestration,

and pipelines transporting carbon dioxide may be permitted

within a parish; to authorize local option elections to determine

whether Class VI wells, carbon dioxide sequestration, and

pipelines transporting carbon dioxide may be permitted within

a parish; to provide procedures for local option elections; to

provide for the authority of the secretary of the Department of

Conservation and Energy; to provide for notice to the

department; to provide for severability; to provide an effective

date; and to provide for related matters.

Read by title.

Under the rules, the above bill was referred to the Committee on

Natural Resources and Environment.

HOUSE BILL NO. 6—

BY REPRESENTATIVES MIKE JOHNSON AND BUTLER

AN ACT

To enact R.S. 30:4(C)(17)(c), 1104(F), and 1104.3, relative to carbon

dioxide transport and sequestration in Rapides Parish; to

authorize the governing authority of Rapides Parish to

determine whether Class VI injection wells, carbon dioxide

sequestration, and pipelines transporting carbon dioxide may be

permitted within the parish; to provide for the authority of the

secretary of the Department of Conservation and Energy; to

provide for notice to the department; to provide for legislative

intent; to provide for severability; to provide for an effective

date; and to provide for related matters.

Read by title.

Under the rules, the above bill was referred to theCommittee on

Natural Resources and Environment.

HOUSE BILL NO. 7—

BY REPRESENTATIVES MIKE JOHNSON,BUTLER, DEWITT, FIRMENT,

GEYMANN, OWEN, AND SCHAMERHORN

AN ACT

To amend and reenact R.S. 30:4(C)(17)(a), 1102(A), 1104(A)(1) and

(C)(introductory paragraph), and 1107, to enact R.S. 19:2.3, and

to repeal R.S. 19:2(10) and (11) and R.S. 30:4(C)(17)(b),

1104.2, and 1108, relative to the transportation and

sequestration of carbon dioxide without a property owner's

consent; to remove expropriation authority related to the

sequestration of carbon dioxide; to remove expropriation

authority for carbon dioxide pipelines; to prohibit expropriation

by private entities related to carbon dioxide transport and

sequestration; to provide for public policy regarding carbon

dioxide transport and sequestration; to provide for the powers

of the secretary of the Department of Energy and Conservation;

to remove the secretary's authority to order unit operation for

carbon dioxide sequestration; to remove the secretary's authority

to issue certificates of public convenience and necessity related

to carbon dioxide transportation and sequestration; to provide

an effective date; and to provide for related matters.

Read by title.

Under the rules, the above bill was referred to theCommittee on

Natural Resources and Environment.

HOUSE BILL NO. 8—

BY REPRESENTATIVE BACALA 

AN ACT

To amend and reenact R.S. 11:186(B), relative to legislative staff

attendance at executive sessions of meetings of any state or

statewide retirement system board or committee; to provide

relative to authorization to attend executive sessions; to provide

for restrictions; and to provide for related matters.

Read by title.

Under the rules, the above bill was referred to the Committee on

Retirement.

HOUSE BILL NO. 9—

BY REPRESENTATIVE WALTERS

AN ACT

To enact R.S. 49:170.26, relative to state symbols; to provide that

Shreveport is the Stuffed Shrimp Capital of Louisiana; and to

provide for related matters.

Read by title.

Under the rules, the above bill was referred to the Committee on

Judiciary.

HOUSE BILL NO. 10—

BY REPRESENTATIVE HENRY

AN ACT

To enact R.S. 1:55(E)(1)(j), relative to legal holidays; to establish the

Friday of the International Rice Festival as a legal holiday in the

parish of Acadia; to authorize the clerk of court in the parish of

Acadia to close the office in observance of the legal holiday; to

provide for exceptions; and to provide for related matters.

Read by title.

Under the rules, the above bill was referred to the Committee on

Judiciary.

HOUSE BILL NO. 11—

BY REPRESENTATIVE MCCORMICK 

AN ACT

To enact R.S. 1:58.10, relative to days of remembrance; to provide

for a day of remembrance for Charlie Kirk; and to provide for

related matters.

Read by title.

Under the rules, the above bill was referred to the Committee on

Judiciary.

HOUSE BILL NO. 12—

BY REPRESENTATIVE VILLIO

AN ACT

To amend and reenact R.S. 40:1665.2(F), to provide for survival

benefits for reserve and auxiliary law enforcement officers; to

provide for payment ofsurviving spouse benefits for reserve and

auxiliary law enforcement officers killed in the line of duty; and

to provide for related matters.

Read by title.

Under the rules, the above bill was referred to the Committee on

Appropriations."
2,Comment_1.pdf,1,1506,"¿ From: Kelly, Suzanne <Kelly.Suzanne@epa.gov>

To: OW-Docket <OW-Docket@epa.gov>

Date: 6/29/2023 1:31:34 PM

Subject: FW: Re EPAâ€“HQâ€“OWâ€“2023â€“0073: don't abdicate our regulatory 

powers to LDNR

------------------------------------------------------------------------------

---

________________________________

From: Laurence Kirby &lt;vanini@earthlink.net&gt;

Sent: Thursday, June 29, 2023 1:31:28 PM (UTC-05:00) Eastern Time (US &amp; 

Canada)

To: Kelly, Suzanne &lt;Kelly.Suzanne@epa.gov&gt;

Subject: Re EPAâ€“HQâ€“OWâ€“2023â€“0073: don't abdicate our regulatory powers 

to LDNR

US EPA Office of Ground Water and Drinking Water Suzanne Kelly,

I strongly oppose approval of the Louisiana Department of Natural 

Resourceâ€™s application for primacy to regulate companies that seek to 

inject carbon dioxide waste underground.

This risky and unpopular plan violates the EPA's commitment to environmental 

justice and makes a mockery of Pres. Biden's promises to deal with the 

climate crisis. It would have a bad effect on the local and national 

environment, leading to inevitable toxic spills and carbon pollution. And it 

paves the way for wider adoption of carbon capture and storage, an untested 

and speculative technology that is likely to cause additional pollution and 

unlikely to lead to a significant reduction in carbon emissions.

EPA, please don't give up on your mission and your power to control carbon 

pollution and environmental poisons.

Laurence

New York"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,1,2043,"EXECUTIVE DEPARTMENT 

OFFICE OF THE GOVERNOR 

EXECUTIVE ORDER NUMBER JML 25-119 

CO₂ CAPTURE AND STORAGE LIMITS AND MORATORIUM 

WHEREAS, on January 20, 2025, President Trump signed Executive Order 14154, titled 

“Unleashing American Energy,” which directs all agencies to review regulations and propose 

deregulation through efficient permitting, specifically removing the social costs of CO₂ from 

calculations in any federal permitting or regulatory decision; 

WHEREAS, on February 14, 2025, President Trump established the National Energy 

Dominance Council, through Executive Order 14213, finding it necessary to expand all forms of 

reliable and affordable energy production to drive down inflation, grow the economy, create good￾paying jobs, reestablish American leadership in manufacturing, lead the world in artificial 

intelligence, and restore peace through strength by wielding commercial and diplomatic levers to 

end wars across the world; 

WHEREAS, on April 8, 2025, President Trump signed Executive Order 14261, to 

reinvigorate American’s clean coal industry and make it a national policy and priority to support 

“the domestic coal industry by removing Federal regulatory barriers that undermine coal 

production, encouraging the utilization of coal to meet growing domestic energy demands, 

increasing American coal exports, and ensuring that federal policy does not discriminate against 

coal production or coal-fired electricity generation;” 

WHEREAS, President Trump continues to champion energy innovation by advancing 

technologies such as clean coal and CO₂ capture and storage, in order to secure a more sustainable, 

reliable, and prosperous energy future; 

WHEREAS, President Trump has identified dangerous state and local energy policies as 

direct threats to the nation’s domestic energy supply, warning that such actions jeopardize “our 

Nation’s core national defense and security needs, and devastate the prosperity of not only local 

residents but the entire United States population;”"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,2,2652,"2

WHEREAS, Louisiana plays a central role in our nation’s energy, transportation, and 

petrochemical sectors, producing the second-largest volume of oil and gas in the United States and 

President Trump’s executive orders on energy necessitate constant evaluation of Louisiana’s own 

energy policies and laws; 

WHEREAS, Louisiana’s refineries account for 16% (1/6th) of the country’s refining 

capacity, and its network of pipelines transport 90% of the nation’s offshore energy production 

and 30% of the total oil and gas supply, making it essential to national energy security. However, 

the volatility of the oil and gas industry has, at times, created a stagnant economy for our state; 

WHEREAS, Louisiana’s extensive industrial infrastructure—including pipelines, 

liquefied natural gas (“LNG”) facilities, a highly skilled energy workforce, and expansive port 

system, is in conformity with President Trump’s policies, and it uniquely positions the State as a 

national leader in CO₂ capture and storage, capable of seamlessly integrating CO₂ capture into 

existing processes, enhancing America’s energy competitiveness globally; 

WHEREAS, Louisiana, for over 40 years, has injected CO₂ into the geological formations 

of our state for the use of enhanced oil recovery (“EOR”) in projects; 

WHEREAS, CO₂ has been safely transported via pipelines across Louisiana since 1986; 

WHEREAS, Louisiana’s unparalleled capability to produce, transport, process, utilize, 

and liquefy natural gas while simultaneously sequestering CO₂ entirely within its borders, and its 

position on the Gulf of America, makes the state indispensable to the pursuit of energy dominance, 

fostering strategic reliance from European and Asian markets seeking dependable, large-scale 

carbon-neutral feedstocks, thereby solidifying Louisiana’s role at the forefront of global energy 

leadership and economic competitiveness; 

WHEREAS, CO₂ capture and storage will extend Louisiana’s presence in energy by 

creating 17,000 potential new jobs, investing seventy-six billion dollars in potential capital for 

communities throughout Louisiana from announced projects alone, and driving economic growth 

on a scale unimaginable for Louisiana; 

WHEREAS, CO₂ capture and storage will provide additional revenue sources for local 

governments, has the potential to create a more diversified economy for Louisiana, and continue 

to serve as a catalyst for multiple industries, while sustaining and enhancing existing industries; 

WHEREAS, Louisiana, with its natural geological formations, provides a favorable 

subsurface environment for CO₂ storage;"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,3,2317,"3

WHEREAS, the Environmental Protection Agency (“EPA”) is authorized to develop 

requirements and provisions for Underground Injection Control (“UIC”) pursuant to the Safe 

Drinking Water Act (“SDWA”) of 1974—a federal law establishing comprehensive standards to 

protect public drinking water from contaminants; 

WHEREAS, since 1982, Louisiana has maintained primary enforcement authority 

(“primacy”) for the UIC program, ensuring that the State’s regulation of injection wells remains 

consistent with federal requirements; 

WHEREAS, just five states, Arizona, Louisiana, North Dakota, West Virgina and 

Wyoming, have primacy for Class VI wells; 

WHEREAS, Louisiana is the only state to have primacy in the U.S. Environmental 

Protection Agency (“EPA”) Region 6; however, neighboring states are rapidly pursuing primacy 

for Class VI underground injection well permits for CO₂; 

WHEREAS, in the summer of 2025, the EPA announced its proposed approval of 

permitting for Class VI underground injection wells in Texas under the SDWA, and we anticipate 

that Class VI permits will be issued in Texas in the very near future; 

WHEREAS, Louisiana, ahead of other states with regard to CO₂ regulations, has 

continued to enact laws to ensure the health and safety of Louisiana citizens with regard to CO₂. 

The Louisiana Legislature passed, unanimously, Act No. 517 of the 2009 Regular Session, the 

Louisiana Geologic Sequestration of Carbon Dioxide Act, granting the Louisiana Department of 

Conservation and Energy (the “Department”), the authority, now codified in R.S. 30:1104, to 

promulgate rules, regulations, and issue orders and permits; 

WHEREAS, Class VI wells must comply with existing laws and the rules, regulations, 

and orders issued by the Department including Louisiana’s Statewide Order No. 29-N-6 (LAC 

43:XVII, Subpart 6) and the SDWA of 1974; 

WHEREAS, with a balanced approach, considering concerns of citizens and investing in 

economic growth, CO₂ capture and sequestration will provide an opportunity to lift citizens of 

Louisiana out of poverty; 

WHEREAS, reasonable limits and regulation of CO₂ capture and sequestration is 

necessary, since Louisiana also has a vital obligation to protect the health, safety, and welfare of 

its citizens and the environment;"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,4,2109,"4

WHEREAS, the injection and long-term storage of CO₂ in deep geologic formations—

commonly referred to as Class VI wells are specialized injection wells designed exclusively for 

the geologic sequestration of CO₂ distinct from other classes of injection wells regulated under 

separate statutory and regulatory frameworks; 

WHEREAS, since Louisiana has obtained Class VI primacy, applications for 33 carbon 

sequestration projects have been filed with the Department, and each application is estimated to 

require approximately 2,000 hours of review between its submission and a permit decision being 

made; 

WHEREAS, it is imperative that the Department be allowed to put into place a well￾thought-out and methodical approach to application review and permitting that takes into 

consideration of the safety of our citizens and environment and that streamlines the process for 

greater efficiency; 

WHEREAS, the federal government through the Pipeline and Hazardous Materials Safety 

Administration (“PHMSA”) has been engaged in strengthening CO₂ pipeline safety requirements 

(“PHMSA–2022–0125”), and the proposed federal rules for CO₂ pipelines—consistent with 

Louisiana’s Statewide Order 29-N-6 and LAC 33:V (“Hazardous Wastes and Hazardous 

Materials”) requirements—provide a framework mandating that pipelines be designed, 

constructed, and operated with enhanced safety measures, including: 

A. Clearly defined emergency planning zones 

B. Thorough corrosion control measures. 

C. Automatic shut-off valves in strategic locations. 

D. Expanded public awareness programs. 

E. Mandatory minimum setback distances from residential communities. 

F. Comprehensive emergency response protocols. 

G. Enhanced design features to protect against pipeline shearing or rupture and 

monitoring requirements. 

WHEREAS, to support balanced economic growth and safeguard public trust, I, as 

Governor, have heard the concerns of citizens and communities and am stepping in to require 

agencies to work together—particularly the Department and Louisiana Economic Development 

(“LED”) to:"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,5,2388,"5

A. Evaluate economic potential for projects associated with Class VI applications, 

reporting on their projected economic impact including local and regional 

economic growth, workforce opportunities, and any community benefit plan 

adopted by parish governments. 

B. Ensure a process to incorporate stakeholder input from businesses, industry 

associations, and local communities, ensuring transparency and broad engagement. 

C. Collaborate with other agencies, including but not limited to, Louisiana Department 

of Environmental Quality (“DEQ”), Louisiana Department of Revenue (“LDR”), 

and Louisiana Department of Wildlife and Fisheries (“LDWF”), to balance robust 

industrial development with rigorous environmental and safety protections. 

D. Ensure a process where the applicant recommends strategies to prevent and mitigate 

long-term unintended consequences while fostering innovation and investment in 

CO₂ capture technologies so that projects not only offer broad economic benefits 

but also ensure diligent environmental and safety protections. 

WHEREAS, in accordance with LAC 43:XVII.3615 promulgated by the Department, 

each Class VI applicant must conduct an area of review analysis and address any wells that could 

affect containment integrity, in addition to other critical site characterization and review steps; 

WHEREAS, the Department has promulgated requirements for Class VI injection wells, 

including but not limited to plugging and abandonment (LAC 43:XVII.3631), pre-operational 

reviews (LAC 43:XVII.3619), emergency and remedial response (LAC 43:XVII.3623), financial 

assurance (LAC 43:XVII.3609), and public notification (LAC 43:XVII.3611) to ensure exhaustive 

analysis before granting a permit to operate; 

WHEREAS, Department Guidance No. B-2025-01 and No. B-2025-01-A establish 

agency expectations for Class VI permit application review, including a standard two-year 

processing timeframe, structured technical review and public hearing stages, prioritization of 

projects with economic development significance, and alignment with federal EPA standards to 

ensure transparency and protection of underground sources of drinking water; 

WHEREAS, in order to create further transparency for the citizens of our state, the 

Louisiana Legislature passed Senate Bill 244 of the 2025 Regular Session, Act 458, changing the"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,6,2289,"6

process that will be followed any time an applicant claims portions of records are confidential 

business information and exempt from production under the Public Records Law; 

WHEREAS, local government and citizens, through their local government, have a right 

to be heard to ensure safety, transparency, and local input; 

WHEREAS, Act Nos. 407 and 414 of the 2025 Regular Session require the Department 

to give substantial consideration to oral or written comments submitted by local governments in 

any matter requiring public comment or a public hearing; 

NOW THEREFORE, I, JEFF LANDRY, Governor of the State of Louisiana, by virtue 

of the authority vested by the Constitution and laws of the State of Louisiana, do hereby order and 

direct as follows: 

Section 1: Moratorium 

I hereby direct the Department to suspend review of any new Class VI applications to 

construct that are submitted to it after the effective date of this order, unless directed otherwise. 

Section 2: Concentration on Specific Class VI permits 

Due to the Department’s volume of applications received, over the next forty-five days, the 

Department is ordered to reevaluate the status of applications for assessment and prioritization for 

the Class VI permits listed in Section III. of Department Guidance No. B-2025-01. 

For those Class VI applications to construct received prior to the effective date of this order, 

no other permit application shall be prioritized until there has been compliance with Sections 4 

and 6-10 herein. 

Section 3: Applicability and Purpose 

The purpose of this Order is to provide a clear roadmap for citizens and local officials, 

ensuring that applications for proposed Class VI projects comply with existing Louisiana rules for 

carbon injection (LAC 43:XVII, Subpart 6 – Statewide Order 29-N-6) and carbon dioxide 

pipelines (LAC 33:V Hazardous Wastes and Hazardous Materials), including any forthcoming 

changes to pipeline safety regulations by PHMSA, and all relevant federal and state environmental 

laws. 

Section 4: Permit Issuance Requirements 

The Department shall not issue any Class VI permit to inject or operate a CO₂ injection 

well until the applicant has satisfactorily demonstrated compliance with rules, regulations, and"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,7,2138,"7

orders issued by the Department, including, but not limited to rules, regulations, and orders 

addressing the following: 

A. Gathering necessary pre-application data in order to complete the required 

application components; 

B. Application requirements found in LAC 43:XVII.3607, which include among other 

things: maps of the area of review showing ownership, topographical information, 

existing wells, surface bodies of water, roads, and habitable structures; 

comprehensive site characterization plan showing underground sources of drinking 

water, confining layer(s), geologic and geochemical data, minerology, and other 

pertinent data; proposed operating data and well operations plan with well controls 

and safeguards; determination of appropriate area of review (“AOR”); corrective 

action plan for addressing any deficient wells within the AOR; environmental 

analysis; proposed well design and construction plan including materials analysis; 

data collection and monitoring plan; proposed emergency response plan; post￾injection monitoring plan; plug and abandonment plan; financial security and 

assurance to cover the costs of emergency response, post injection monitoring, and 

plugging, abandonment and restoration requirements; 

C. Compliance with the State and Local Coastal Resources Management Act 

requirements (if the proposed project is located within the coastal zone); 

D. Emergency Operations Plan; 

E. Well Control procedures; 

F. Identification and mitigation of any existing well, formerly plugged, abandoned, or 

otherwise; ensuring that all wells are properly plugged and abandoned or otherwise 

properly addressed with materials resistant to corrosion by CO2 potentially posing 

a risk consistent with LAC 43:XVII.3615; 

G. Materials analysis ensuring that well casing for Class V monitor wells, Class VI 

injection wells, all prior, current, and future artificial penetrations within the AOR, 

including pipeline materials are fit for CO₂ service; 

H. Construction Plan that meets all Class VI well design standards (LAC 

43:XVII.3617); 

I. Data Collection and Monitoring;"
3,Department-Directive-Order-No-B-2025-01-combined.pdf,8,1949,"8

i. Receive approval of a Testing and Monitoring Plan in accordance with LAC 

43:XVII.3625) to set forth monitoring requirements so as to protect USDWs 

and to use continuous recording devices to monitor injection pressure, rates, 

and volumes; 

ii. Receive approval of a plan to delineate Area AOR and of a Corrective 

Action plan in accordance with LAC 43:XVII.3615, including a well-by￾well plan for corrective action when required; 

iii. Acquire 3D seismic or other acceptable forms of geophysical data to 

identify any faults or fractures; 

iv. Conduct geologic data and analysis establishing adequate confining layers 

and injection zones; 

J. Plume Modeling analysis (including pressure front) to demonstrate that all zones 

outside the approved injection and confining zones (including the USDWs) are 

protected; 

K. Comprehensive Site Characterization describing geologic structures, 

geochemistry, and any risk factors pertinent to long-term CO₂ containment; 

L. Submit a Plugging and Abandonment Plan that meets or exceeds the requirements 

of LAC 43:XVII.3631; 

M. Demonstrate adequate Financial Responsibility in accordance with LAC 

43:XVII.3609; 

N. Minimum Financial Assurance Amount – Companies must maintain financial 

assurance to cover state-approved cost estimates for well closure, post-closure care, 

and emergency response. (LAC 43:XVII.3609.C); 

O. Coverage Requirements – Financial assurance must specifically cover corrective 

action, well plugging, post-injection site monitoring and closure, address any 

endangerment of underground sources of drinking water, and emergency and 

remedial response actions (LAC 43:XVII.3615, 3623, 3631, and 3633); 

P. Allowed Financial Instruments – Permitted instruments include surety bonds, 

letters of credit, third-party insurance, and trust accounts; Self-insurance or basic 

operator-held escrow accounts are strictly prohibited (LAC 43:XVII.3609.C);"
