filename,n_words,Governance frame :: State regulator approval,Governance frame :: State regulator approval (per 1k words),Governance frame :: Industry/technical expertise,Governance frame :: Industry/technical expertise (per 1k words),Governance frame :: Local referendum/voting,Governance frame :: Local referendum/voting (per 1k words),Governance frame :: Property rights protection,Governance frame :: Property rights protection (per 1k words),Governance frame :: Affected-community consultation,Governance frame :: Affected-community consultation (per 1k words),Governance frame :: Tribal/Indigenous consultation,Governance frame :: Tribal/Indigenous consultation (per 1k words),Procedural justice :: Voice/participation,Procedural justice :: Voice/participation (per 1k words),Procedural justice :: Neutrality,Procedural justice :: Neutrality (per 1k words),Procedural justice :: Trustworthiness,Procedural justice :: Trustworthiness (per 1k words),Procedural justice :: Dignitary treatment,Procedural justice :: Dignitary treatment (per 1k words),Recognition justice :: Named LA tribal nations,Recognition justice :: Named LA tribal nations (per 1k words),Recognition justice :: Sovereignty language,Recognition justice :: Sovereignty language (per 1k words),Recognition justice :: Generic stakeholder framing (contrast case),Recognition justice :: Generic stakeholder framing (contrast case) (per 1k words),Institutional trust :: Competence-based trust signals,Institutional trust :: Competence-based trust signals (per 1k words),Institutional trust :: Integrity-based trust signals,Institutional trust :: Integrity-based trust signals (per 1k words),Legitimacy/support :: Legitimacy/license language,Legitimacy/support :: Legitimacy/license language (per 1k words),Legitimacy/support :: Support/opposition language,Legitimacy/support :: Support/opposition language (per 1k words)
26RS - HJ 0309 1.PDF#page=11.pdf,777,17,21.88,0,0.0,2,2.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.57,0,0.0,0,0.0
Comment_1.pdf,196,1,5.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.1,0,0.0,1,5.1
Department-Directive-Order-No-B-2025-01-combined.pdf,5435,121,22.26,39,7.18,0,0.0,3,0.55,14,2.58,1,0.18,8,1.47,0,0.0,8,1.47,1,0.18,0,0.0,0,0.0,5,0.92,6,1.1,3,0.55,1,0.18,6,1.1
Federal Register __ State of Louisiana Underground Injection Control Program; Class VI Primacy.pdf,900,33,36.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Federal_Register.pdf,10868,280,25.76,50,4.6,2,0.18,0,0.0,41,3.77,31,2.85,16,1.47,0,0.0,4,0.37,1,0.09,0,0.0,4,0.37,8,0.74,9,0.83,40,3.68,0,0.0,34,3.13
Gossen_Why_2019.pdf,17965,1,0.06,3,0.17,3,0.17,0,0.0,10,0.56,0,0.0,0,0.0,0,0.0,4,0.22,0,0.0,0,0.0,8,0.45,0,0.0,1,0.06,0,0.0,0,0.0,17,0.95
HB5.pdf,1782,46,25.81,1,0.56,43,24.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.56,0,0.0,0,0.0,0,0.0,4,2.24,1,0.56,0,0.0,1,0.56
HB5_Committee_Voting.docx,282,3,10.64,0,0.0,3,10.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.09
HB5_Digest.pdf,496,15,30.24,1,2.02,17,34.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.03,0,0.0,0,0.0,0,0.0
HB5_Fiscal.pdf,831,20,24.07,1,1.2,7,8.42,2,2.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
HB_500_Mineral_Rights.pdf,531,2,3.77,4,7.53,0,0.0,1,1.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HB_61_Study_Constitutionality.pdf,851,4,4.7,4,4.7,0,0.0,6,7.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HB_79_Damages_Threshold.pdf,914,8,8.75,4,4.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.09,2,2.19,0,0.0,0,0.0,0,0.0,0,0.0,1,1.09,0,0.0,0,0.0
HB_878_Rivers.pdf,268,7,26.12,3,11.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SB_244.pdf,87941,1695,19.27,197,2.24,9,0.1,47,0.53,92,1.05,9,0.1,92,1.05,3,0.03,21,0.24,84,0.96,0,0.0,0,0.0,11,0.13,27,0.31,259,2.95,4,0.05,68,0.77
SB_244_Digest.pdf,3299,51,15.46,11,3.33,1,0.3,2,0.61,1,0.3,0,0.0,0,0.0,0,0.0,6,1.82,1,0.3,0,0.0,0,0.0,0,0.0,2,0.61,5,1.52,0,0.0,2,0.61
StatewideOrderNo29_N_6_revised.pdf,24964,630,25.24,269,10.78,2,0.08,4,0.16,36,1.44,8,0.32,21,0.84,0,0.0,38,1.52,4,0.16,0,0.0,0,0.0,0,0.0,7,0.28,55,2.2,1,0.04,73,2.92
Tunica_Tribe.pdf,489,4,8.18,3,6.13,0,0.0,0,0.0,2,4.09,13,26.58,2,4.09,0,0.0,0,0.0,1,2.04,2,4.09,2,4.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
