rank,word,count
1,secretary,1064
2,commissioner,918
3,department,514
4,words,481
5,well,476
6,conservation,470
7,permit,449
8,class,443
9,public,382
10,injection,376
11,natural,367
12,resources,356
13,site,350
14,existing,327
15,within,322
16,order,320
17,water,317
18,energy,314
19,carbon,311
20,office,307
21,review,303
22,gas,301
23,wells,291
24,regulations,288
25,authority,283
26,dioxide,273
27,operator,270
28,assistant,269
29,type,263
30,application,251
31,notice,248
32,program,247
33,requirements,243
34,additions,243
35,coding,242
36,epa,238
37,struck,238
38,deletions,238
39,underscored,238
40,owner,235
41,required,229
42,boldface,228
43,enrolled,227
44,rules,221
45,information,220
46,chapter,219
47,plan,209
48,storage,207
49,must,206
50,marketing,206
51,necessary,204
52,consumption,204
53,provide,201
54,upon,200
55,following,199
56,part,195
57,hearing,193
58,area,192
59,paragraph,191
60,federal,190
61,used,183
62,journal,181
63,use,175
64,person,169
65,unit,163
66,proposed,163
67,action,161
68,parish,160
69,introductory,147
70,surface,147
71,oil,146
72,court,145
73,environmental,145
74,fund,145
75,sequestration,144
76,time,144
77,production,141
78,uic,137
79,monitoring,136
80,sufficiency,136
81,board,131
82,new,131
83,financial,130
84,authorized,129
85,days,128
86,accordance,128
87,administrative,128
88,underground,127
89,drilling,126
90,compliance,124
91,control,123
92,require,123
93,oilfield,123
94,date,122
95,issued,122
96,facility,120
97,geologic,116
98,prior,114
99,rule,114
100,one,112
