Tier,Priority,Have It (Claude Knowledge/jump drive),Authors,Year,Title,Journal/Venue,Link,Why It Matters
1 - Anchor citation,Read first,YES,"Epp, A.M., & Humphreys, A.",2025,Collaborating with Generative AI in Consumer Culture Research,"Journal of Consumer Research, 52(1), 32-48",https://academic.oup.com/jcr/article/52/1/32/8132295,"CONFIRMED 2026-08-13 (read in full): the strongest anchor available, and now the recommended OPENING citation for any methods section doing AI-assisted thematic/qualitative analysis, ahead of Berger et al. 2020. JCR (top-3 marketing journal, the home journal for qualitative/consumer-culture work specifically), built from interviews with researchers actually using GenAI on qualitative textual data, and supplies a ready-made 4-principle reporting checklist (transparency, provenance, privacy, verisimilitude). Already being cited/followed by Pueschel, Hao & Schmitt 2026."
1 - Anchor citation,Read first,YES,"Arora, N., Chakraborty, I., & Nishimura, Y.",2025,AI-Human Hybrids for Marketing Research: Leveraging LLMs as Collaborators,"Journal of Marketing, 89(2), 43-70",https://journals.sagepub.com/doi/abs/10.1177/00222429241276529,"Load-bearing citation. Top-5 marketing journal; finds human+LLM hybrid coding matches/exceeds human-only on theme generation. This is the exact claim reviewers need to accept."
1 - Anchor citation,High,YES,"Kozinets, R.V., & Seraj-Aksit, M.",2024,Everyday Activism: An AI-Assisted Netnography of a Digital Consumer Movement,"Journal of Marketing Management, 40(3-4), 347-370",https://doi.org/10.1080/0267257X.2024.2307387,"Kozinets basically invented netnography - a marketing-journal AI-assisted qualitative study by the field's own authority. Strong precedent if either paper uses digital/social consumer text data."
1 - Anchor citation,High,YES,"Herhausen, D., Ludwig, S., Abedin, E., Ul Haque, N., & de Jong, D.",2025,From Words to Insights: Text Analysis in Business Research,"Journal of Business Research, 198, 115491",https://doi.org/10.1016/j.jbusres.2025.115491,"CONFIRMED 2026-08-13 (read in full): JBR framework paper comparing topic models/dictionaries/supervised ML/LLMs for business text data, with an explicit author/reviewer checklist (their Table 4) for method selection and evaluation. Cite for general 'LLM-based text analysis is a legitimate, reviewer-recognized method choice' claim - not thematic-analysis-specific, pairs with Epp & Humphreys rather than replacing it."
1 - Anchor citation,High,YES,"Qian, T.Y., Gong, H., & Xu, C.",2026,"Sports, Politics, and Social Media: A Human-AI Collaborative Analysis of Consumer Reactions to Trump's Break 50 Appearance","Journal of Retailing and Consumer Services, 88, 104520",https://doi.org/10.1016/j.jretconser.2025.104520,"CONFIRMED 2026-08-13 (read in full): real, published, marketing-adjacent empirical study built on an explicit human-AI collaboration pipeline (BERTopic + LLM fine-tuning + embeddings) analyzing 47K YouTube/Instagram comments. Reports a new validation stat worth citing: LLM consensus rate 0.94 (10 repeated runs) and frame-consistency rate 0.98 (LLM vs. human) at the coarse generic-frame level; finer issue-specific frames needed manual review - same 'coarse level agrees better than fine level' pattern as AlGhamdi's code-vs-theme finding."
1 - Anchor citation,High,YES,"Pueschel, J., Hao, S., & Schmitt, B.",2026,Understanding Luxury Shaming: A Multi-Study Exploration Using Qualitative Inquiry and Generative AI,"Journal of Business Research, 206, 115996",https://doi.org/10.1016/j.jbusres.2026.115996,"CONFIRMED 2026-08-13 (read in full): closest methodological cousin to the Tariff/CCS/Data Center papers' Study 1 design - manual NVivo thematic analysis run in parallel with GenAI (NotebookLM/ChatGPT) analysis, then axial coding to reconcile, explicitly following Epp & Humphreys' (2025) guidelines. Applied JBR precedent, directly citable as 'following the protocol of.'"
2 - Reliability/validation,High,YES,"Hill, C., Dahil, A., Simpson, G., Hardisty, D., Keast, J., Pinn, C.K., & Dambha-Miller, H.",2026,Large Language Models for Thematic Analysis in Healthcare Research: A Blinded Mixed-Methods Comparison with Human Analysts,"PLOS Digital Health, 5(4), e0001189",https://journals.plos.org/digitalhealth/article?id=10.1371%2Fjournal.pdig.0001189,"Blinded quantified agreement stats (93.5% deductive agreement, Gwet's AC1=0.93) against human coders, specifically using Claude 4 Sonnet. Good numbers for a reviewer."
2 - Reliability/validation,High,YES,"AlGhamdi, R.",2026,From Code Variability to Theme Convergence: AI-Human Alignment in Thematic Analysis With Claude Code,International Journal of Qualitative Methods,https://journals.sagepub.com/doi/full/10.1177/16094069261462093,"Only paper validating Claude Code specifically (not just chat-based Claude) against a human/NVivo baseline. Open access - full PDF verified 2026-08-13 via Ole Miss library: 4 independent Claude Code sessions (2 general prompts, 2 structured multi-phase) vs. original 2012 NVivo human analysis of 16 interviews. Key finding for citing - hierarchical convergence: code-level F1 varies widely (55.9-87.6%, structured prompting beats general 83.1% vs 59.2%) but theme-level F1 stays high and stable (90.9-100%) with strong inter-session consistency (86.1% avg). Also reports 100% quote-verification accuracy (0 fabrications across 64 sampled quotes) vs. 42% for Microsoft Copilot in a comparable study - strong citable contrast. Saved to Claude Knowledge/Thematic Analysis/."
2 - Reliability/validation,High,YES,"Misra, R., Dahal, R., Kirk, B., Khan, R., Dogan, G., Chataut, R., & Gyawali, P.",2026,Large Language Models in Qualitative Analysis: Comparing Traditional and Researcher-Interpreted Approaches,International Journal of Qualitative Methods,https://journals.sagepub.com/doi/10.1177/16094069261426100,"Comparative study of traditional vs. researcher-interpreted LLM analysis approaches - reliability evidence."
2 - Reliability/validation,Medium,YES,"Nguyen-Trung, K.",2025,ChatGPT in Thematic Analysis: Can AI Become a Research Assistant in Qualitative Research?,Quality & Quantity,https://doi.org/10.1007/s11135-025-02165-z,"Introduces GAITA (Guided AI Thematic Analysis), adapting King et al.'s Template Analysis with researcher as reflexive instrument guiding GPT-4 through 4 stages. Also the paper most likely to be cited AGAINST you (raises the Big-Q/reflexivity objection) - read both ways."
2 - Reliability/validation,Medium,YES,"Sakaguchi, K., Sakama, R., & Watari, T.",2025,Evaluating ChatGPT in Qualitative Thematic Analysis With Human Researchers in the Japanese Clinical Context and Its Cultural Interpretation Challenges: Comparative Qualitative Study,"Journal of Medical Internet Research, 27, e71521",https://doi.org/10.2196/71521,"Direct human-vs-ChatGPT comparative study; useful cross-cultural/cross-language robustness angle."
3 - Rigor/trustworthiness framework,High,YES (full text obtained 2026-08-13 via institutional access; see ASE-19-330.pdf),"Lazarus, M.D., Zhao, L., Gibson, A., Martinez-Maldonado, R., & Stephens, G.C.",2026,Risky or Rigorous? Developing Trustworthiness Criteria for AI-Supported Qualitative Data Analysis,"Anatomical Sciences Education, 19, 330-337",https://anatomypubs.onlinelibrary.wiley.com/doi/full/10.1002/ase.70125,"Full five-criteria table (credibility, dependability, reflexivity, transferability, confirmability) with AI-specific operationalization now confirmed and folded into Study1_AI_Thematic_Analysis_Publishable_Protocol.md. Note: their dependability discussion is explicitly more skeptical of commercial LLMs than of purpose-built research tools (their own case study uses a bespoke non-commercial parser, not Claude/ChatGPT) -- address this directly in a Study 1 rigor paragraph rather than citing as unqualified LLM endorsement. Framed around interpretivist/Big Q qualitative research specifically."
3 - Rigor/trustworthiness framework,High,YES,"Xu, W.",2026,"Doing Thematic Analysis in the Age of Generative AI: Practices, Ethics and Reflexivity",International Journal of Qualitative Methods,https://journals.sagepub.com/doi/10.1177/16094069261425173,"Directly engages the reflexivity/Big-Q objection; models how to write a methods section that keeps human interpretive authority visible."
3 - Rigor/trustworthiness framework,Medium,YES,"Cheah, C.W.",2025,AI-Augmented Netnography: Ethical and Methodological Frameworks for Responsible Digital Research,International Journal of Qualitative Methods,https://journals.sagepub.com/doi/10.1177/16094069251338910,"Ethical/methodological framework specifically for AI-augmented netnography - pairs well with the Kozinets paper if either project uses digital consumer data."
