Year,Month,Month-number,Data_Item,Value,Units
1970,January,1,Pork byproduct value,4.3,Cents per pound of retail equivalent
1970,February,2,Pork byproduct value,4.7,Cents per pound of retail equivalent
1970,March,3,Pork byproduct value,4.8,Cents per pound of retail equivalent
1970,April,4,Pork byproduct value,4.3,Cents per pound of retail equivalent
1970,May,5,Pork byproduct value,3.7,Cents per pound of retail equivalent
1970,June,6,Pork byproduct value,3.7,Cents per pound of retail equivalent
1970,July,7,Pork byproduct value,3.8,Cents per pound of retail equivalent
1970,August,8,Pork byproduct value,3.6,Cents per pound of retail equivalent
1970,September,9,Pork byproduct value,3.5,Cents per pound of retail equivalent
1970,October,10,Pork byproduct value,3.1,Cents per pound of retail equivalent
1970,November,11,Pork byproduct value,2.6,Cents per pound of retail equivalent
1970,December,12,Pork byproduct value,2.4,Cents per pound of retail equivalent
1971,January,1,Pork byproduct value,2.5,Cents per pound of retail equivalent
1971,February,2,Pork byproduct value,3.1,Cents per pound of retail equivalent
1971,March,3,Pork byproduct value,2.8,Cents per pound of retail equivalent
1971,April,4,Pork byproduct value,2.6,Cents per pound of retail equivalent
1971,May,5,Pork byproduct value,2.8,Cents per pound of retail equivalent
1971,June,6,Pork byproduct value,2.9,Cents per pound of retail equivalent
1971,July,7,Pork byproduct value,3.1,Cents per pound of retail equivalent
1971,August,8,Pork byproduct value,3.1,Cents per pound of retail equivalent
1971,September,9,Pork byproduct value,3,Cents per pound of retail equivalent
1971,October,10,Pork byproduct value,3,Cents per pound of retail equivalent
1971,November,11,Pork byproduct value,2.8,Cents per pound of retail equivalent
1971,December,12,Pork byproduct value,2.9,Cents per pound of retail equivalent
1972,January,1,Pork byproduct value,3.2,Cents per pound of retail equivalent
1972,February,2,Pork byproduct value,3.2,Cents per pound of retail equivalent
1972,March,3,Pork byproduct value,3,Cents per pound of retail equivalent
1972,April,4,Pork byproduct value,3.2,Cents per pound of retail equivalent
1972,May,5,Pork byproduct value,3.2,Cents per pound of retail equivalent
1972,June,6,Pork byproduct value,3.5,Cents per pound of retail equivalent
1972,July,7,Pork byproduct value,3.6,Cents per pound of retail equivalent
1972,August,8,Pork byproduct value,3.8,Cents per pound of retail equivalent
1972,September,9,Pork byproduct value,3.5,Cents per pound of retail equivalent
1972,October,10,Pork byproduct value,3.6,Cents per pound of retail equivalent
1972,November,11,Pork byproduct value,3.5,Cents per pound of retail equivalent
1972,December,12,Pork byproduct value,3.6,Cents per pound of retail equivalent
1973,January,1,Pork byproduct value,3.7,Cents per pound of retail equivalent
1973,February,2,Pork byproduct value,4.5,Cents per pound of retail equivalent
1973,March,3,Pork byproduct value,5.2,Cents per pound of retail equivalent
1973,April,4,Pork byproduct value,5.9,Cents per pound of retail equivalent
1973,May,5,Pork byproduct value,5.5,Cents per pound of retail equivalent
1973,June,6,Pork byproduct value,6,Cents per pound of retail equivalent
1973,July,7,Pork byproduct value,7.1,Cents per pound of retail equivalent
1973,August,8,Pork byproduct value,9.8,Cents per pound of retail equivalent
1973,September,9,Pork byproduct value,7.1,Cents per pound of retail equivalent
1973,October,10,Pork byproduct value,7.4,Cents per pound of retail equivalent
1973,November,11,Pork byproduct value,6.7,Cents per pound of retail equivalent
1973,December,12,Pork byproduct value,6.3,Cents per pound of retail equivalent
1974,January,1,Pork byproduct value,6.6,Cents per pound of retail equivalent
1974,February,2,Pork byproduct value,7.3,Cents per pound of retail equivalent
1974,March,3,Pork byproduct value,6.4,Cents per pound of retail equivalent
1974,April,4,Pork byproduct value,5.3,Cents per pound of retail equivalent
1974,May,5,Pork byproduct value,4.5,Cents per pound of retail equivalent
1974,June,6,Pork byproduct value,4.4,Cents per pound of retail equivalent
1974,July,7,Pork byproduct value,6.6,Cents per pound of retail equivalent
1974,August,8,Pork byproduct value,6.6,Cents per pound of retail equivalent
1974,September,9,Pork byproduct value,6.2,Cents per pound of retail equivalent
1974,October,10,Pork byproduct value,7.6,Cents per pound of retail equivalent
1974,November,11,Pork byproduct value,7.4,Cents per pound of retail equivalent
1974,December,12,Pork byproduct value,7.3,Cents per pound of retail equivalent
1975,January,1,Pork byproduct value,5.2,Cents per pound of retail equivalent
1975,February,2,Pork byproduct value,5.6,Cents per pound of retail equivalent
1975,March,3,Pork byproduct value,5.8,Cents per pound of retail equivalent
1975,April,4,Pork byproduct value,5.9,Cents per pound of retail equivalent
1975,May,5,Pork byproduct value,6.2,Cents per pound of retail equivalent
1975,June,6,Pork byproduct value,6.9,Cents per pound of retail equivalent
1975,July,7,Pork byproduct value,7.8,Cents per pound of retail equivalent
1975,August,8,Pork byproduct value,7.8,Cents per pound of retail equivalent
1975,September,9,Pork byproduct value,8.1,Cents per pound of retail equivalent
1975,October,10,Pork byproduct value,8,Cents per pound of retail equivalent
1975,November,11,Pork byproduct value,6.5,Cents per pound of retail equivalent
1975,December,12,Pork byproduct value,5.4,Cents per pound of retail equivalent
1976,January,1,Pork byproduct value,5.3,Cents per pound of retail equivalent
1976,February,2,Pork byproduct value,5.6,Cents per pound of retail equivalent
1976,March,3,Pork byproduct value,5.2,Cents per pound of retail equivalent
1976,April,4,Pork byproduct value,5.2,Cents per pound of retail equivalent
1976,May,5,Pork byproduct value,5.3,Cents per pound of retail equivalent
1976,June,6,Pork byproduct value,5.4,Cents per pound of retail equivalent
1976,July,7,Pork byproduct value,5.5,Cents per pound of retail equivalent
1976,August,8,Pork byproduct value,5.2,Cents per pound of retail equivalent
1976,September,9,Pork byproduct value,4.4,Cents per pound of retail equivalent
1976,October,10,Pork byproduct value,3.4,Cents per pound of retail equivalent
1976,November,11,Pork byproduct value,3.5,Cents per pound of retail equivalent
1976,December,12,Pork byproduct value,4.1,Cents per pound of retail equivalent
1977,January,1,Pork byproduct value,4.4,Cents per pound of retail equivalent
1977,February,2,Pork byproduct value,4.7,Cents per pound of retail equivalent
1977,March,3,Pork byproduct value,4.5,Cents per pound of retail equivalent
1977,April,4,Pork byproduct value,4.5,Cents per pound of retail equivalent
1977,May,5,Pork byproduct value,5,Cents per pound of retail equivalent
1977,June,6,Pork byproduct value,4.9,Cents per pound of retail equivalent
1977,July,7,Pork byproduct value,5.1,Cents per pound of retail equivalent
1977,August,8,Pork byproduct value,4.8,Cents per pound of retail equivalent
1977,September,9,Pork byproduct value,4.5,Cents per pound of retail equivalent
1977,October,10,Pork byproduct value,4.4,Cents per pound of retail equivalent
1977,November,11,Pork byproduct value,4.2,Cents per pound of retail equivalent
1977,December,12,Pork byproduct value,4.5,Cents per pound of retail equivalent
1978,January,1,Pork byproduct value,5.2,Cents per pound of retail equivalent
1978,February,2,Pork byproduct value,5.6,Cents per pound of retail equivalent
1978,March,3,Pork byproduct value,6,Cents per pound of retail equivalent
1978,April,4,Pork byproduct value,5.6,Cents per pound of retail equivalent
1978,May,5,Pork byproduct value,5.9,Cents per pound of retail equivalent
1978,June,6,Pork byproduct value,6,Cents per pound of retail equivalent
1978,July,7,Pork byproduct value,5.7,Cents per pound of retail equivalent
1978,August,8,Pork byproduct value,6,Cents per pound of retail equivalent
1978,September,9,Pork byproduct value,6.4,Cents per pound of retail equivalent
1978,October,10,Pork byproduct value,6.5,Cents per pound of retail equivalent
1978,November,11,Pork byproduct value,5.9,Cents per pound of retail equivalent
1978,December,12,Pork byproduct value,5.9,Cents per pound of retail equivalent
1979,January,1,Pork byproduct value,6.5984,Cents per pound of retail equivalent
1979,February,2,Pork byproduct value,7.5263,Cents per pound of retail equivalent
1979,March,3,Pork byproduct value,7.3201,Cents per pound of retail equivalent
1979,April,4,Pork byproduct value,5.9798,Cents per pound of retail equivalent
1979,May,5,Pork byproduct value,6.186,Cents per pound of retail equivalent
1979,June,6,Pork byproduct value,5.4643,Cents per pound of retail equivalent
1979,July,7,Pork byproduct value,5.3612,Cents per pound of retail equivalent
1979,August,8,Pork byproduct value,5.155,Cents per pound of retail equivalent
1979,September,9,Pork byproduct value,5.3612,Cents per pound of retail equivalent
