[50 done, 50/2018 scanned] running counts: {'trade': 48, 'utility_only': 0, 'ambiguous': 2, 'no_match': 0, 'fetch_failed': 0}
[100 done, 100/2018 scanned] running counts: {'trade': 92, 'utility_only': 0, 'ambiguous': 8, 'no_match': 0, 'fetch_failed': 0}
[150 done, 150/2018 scanned] running counts: {'trade': 134, 'utility_only': 3, 'ambiguous': 13, 'no_match': 0, 'fetch_failed': 0}
[200 done, 200/2018 scanned] running counts: {'trade': 184, 'utility_only': 3, 'ambiguous': 13, 'no_match': 0, 'fetch_failed': 0}
[250 done, 250/2018 scanned] running counts: {'trade': 234, 'utility_only': 3, 'ambiguous': 13, 'no_match': 0, 'fetch_failed': 0}
[300 done, 300/2018 scanned] running counts: {'trade': 282, 'utility_only': 3, 'ambiguous': 14, 'no_match': 1, 'fetch_failed': 0}
[350 done, 350/2018 scanned] running counts: {'trade': 322, 'utility_only': 3, 'ambiguous': 24, 'no_match': 1, 'fetch_failed': 0}
[400 done, 400/2018 scanned] running counts: {'trade': 365, 'utility_only': 6, 'ambiguous': 28, 'no_match': 1, 'fetch_failed': 0}
[450 done, 450/2018 scanned] running counts: {'trade': 402, 'utility_only': 6, 'ambiguous': 41, 'no_match': 1, 'fetch_failed': 0}
[500 done, 500/2018 scanned] running counts: {'trade': 433, 'utility_only': 10, 'ambiguous': 49, 'no_match': 8, 'fetch_failed': 0}
[550 done, 550/2018 scanned] running counts: {'trade': 474, 'utility_only': 12, 'ambiguous': 56, 'no_match': 8, 'fetch_failed': 0}
[600 done, 600/2018 scanned] running counts: {'trade': 516, 'utility_only': 14, 'ambiguous': 62, 'no_match': 8, 'fetch_failed': 0}
[650 done, 650/2018 scanned] running counts: {'trade': 552, 'utility_only': 23, 'ambiguous': 67, 'no_match': 8, 'fetch_failed': 0}
[700 done, 700/2018 scanned] running counts: {'trade': 591, 'utility_only': 24, 'ambiguous': 77, 'no_match': 8, 'fetch_failed': 0}
[750 done, 750/2018 scanned] running counts: {'trade': 630, 'utility_only': 30, 'ambiguous': 82, 'no_match': 8, 'fetch_failed': 0}
[800 done, 800/2018 scanned] running counts: {'trade': 671, 'utility_only': 31, 'ambiguous': 90, 'no_match': 8, 'fetch_failed': 0}
[850 done, 850/2018 scanned] running counts: {'trade': 718, 'utility_only': 31, 'ambiguous': 92, 'no_match': 9, 'fetch_failed': 0}
[900 done, 900/2018 scanned] running counts: {'trade': 734, 'utility_only': 31, 'ambiguous': 98, 'no_match': 9, 'fetch_failed': 28}
[950 done, 950/2018 scanned] running counts: {'trade': 780, 'utility_only': 31, 'ambiguous': 102, 'no_match': 9, 'fetch_failed': 28}
[1000 done, 1000/2018 scanned] running counts: {'trade': 830, 'utility_only': 31, 'ambiguous': 102, 'no_match': 9, 'fetch_failed': 28}
[1050 done, 1050/2018 scanned] running counts: {'trade': 874, 'utility_only': 31, 'ambiguous': 108, 'no_match': 9, 'fetch_failed': 28}
[1100 done, 1100/2018 scanned] running counts: {'trade': 922, 'utility_only': 31, 'ambiguous': 110, 'no_match': 9, 'fetch_failed': 28}
[1150 done, 1150/2018 scanned] running counts: {'trade': 972, 'utility_only': 31, 'ambiguous': 110, 'no_match': 9, 'fetch_failed': 28}
[1200 done, 1200/2018 scanned] running counts: {'trade': 1021, 'utility_only': 31, 'ambiguous': 111, 'no_match': 9, 'fetch_failed': 28}
[1250 done, 1250/2018 scanned] running counts: {'trade': 1062, 'utility_only': 31, 'ambiguous': 120, 'no_match': 9, 'fetch_failed': 28}
[1300 done, 1300/2018 scanned] running counts: {'trade': 1109, 'utility_only': 31, 'ambiguous': 123, 'no_match': 9, 'fetch_failed': 28}
[1350 done, 1350/2018 scanned] running counts: {'trade': 1146, 'utility_only': 36, 'ambiguous': 131, 'no_match': 9, 'fetch_failed': 28}
[1400 done, 1400/2018 scanned] running counts: {'trade': 1187, 'utility_only': 39, 'ambiguous': 137, 'no_match': 9, 'fetch_failed': 28}
[1450 done, 1450/2018 scanned] running counts: {'trade': 1230, 'utility_only': 41, 'ambiguous': 142, 'no_match': 9, 'fetch_failed': 28}
[1500 done, 1500/2018 scanned] running counts: {'trade': 1261, 'utility_only': 45, 'ambiguous': 157, 'no_match': 9, 'fetch_failed': 28}
[1550 done, 1550/2018 scanned] running counts: {'trade': 1299, 'utility_only': 49, 'ambiguous': 165, 'no_match': 9, 'fetch_failed': 28}
[1600 done, 1600/2018 scanned] running counts: {'trade': 1341, 'utility_only': 49, 'ambiguous': 173, 'no_match': 9, 'fetch_failed': 28}
[1650 done, 1650/2018 scanned] running counts: {'trade': 1376, 'utility_only': 53, 'ambiguous': 184, 'no_match': 9, 'fetch_failed': 28}
[1700 done, 1700/2018 scanned] running counts: {'trade': 1424, 'utility_only': 53, 'ambiguous': 186, 'no_match': 9, 'fetch_failed': 28}
[1750 done, 1750/2018 scanned] running counts: {'trade': 1458, 'utility_only': 53, 'ambiguous': 202, 'no_match': 9, 'fetch_failed': 28}
[1800 done, 1800/2018 scanned] running counts: {'trade': 1506, 'utility_only': 53, 'ambiguous': 204, 'no_match': 9, 'fetch_failed': 28}
[1850 done, 1850/2018 scanned] running counts: {'trade': 1541, 'utility_only': 53, 'ambiguous': 219, 'no_match': 9, 'fetch_failed': 28}
[1900 done, 1900/2018 scanned] running counts: {'trade': 1588, 'utility_only': 56, 'ambiguous': 219, 'no_match': 9, 'fetch_failed': 28}
[1950 done, 1950/2018 scanned] running counts: {'trade': 1625, 'utility_only': 68, 'ambiguous': 220, 'no_match': 9, 'fetch_failed': 28}
[2000 done, 2000/2018 scanned] running counts: {'trade': 1660, 'utility_only': 77, 'ambiguous': 226, 'no_match': 9, 'fetch_failed': 28}

DONE. 2018 newly classified this run. Final running counts: {'trade': 1678, 'utility_only': 77, 'ambiguous': 226, 'no_match': 9, 'fetch_failed': 28}
