company,ticker,cik,gics_sector,form,file_date,period_ending,accession_number,file_id,file_type,filing_index_url,doc_url,classification,matched_snippet,exclusion_reason
American Water Works,AWK,1410636,Utilities,10-Q,2025-07-30,2025-06-30,0001410636-25-000150,0001410636-25-000150:awk-20250630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1410636/000141063625000150/0001410636-25-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1410636/000141063625000150/awk-20250630.htm,utility_only,"&#160; california, step increase january 1, 2025 17 &#160; total general rate case authorizations $ 232 &#160; (a) new rates are expected to be effective in early august 2025, upon filing the revised tariff sheets and rate schedules. (b) interim rates of $ 5 million were effective may 11, 2024. the iowa utilities commission issued its final order on may 21, 2025. (c) interim rates were effective may 1,",
American Water Works,AWK,1410636,Utilities,10-K,2025-02-19,2024-12-31,0001410636-25-000022,0001410636-25-000022:awk-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1410636/000141063625000022/0001410636-25-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1410636/000141063625000022/awk-20241231.htm,utility_only,"ket value, while providing the company with increased opportunity to recover the purchase price over the life of the purchased system assets, subject to puc approval. 8 table of contents consolidated tariffs use a unified rate structure for systems owned and operated by a single utility, which may or may not be physically interconnected. consolidated tariff pricing&#160;moderates the impact of periodic",
American Water Works,AWK,1410636,Utilities,10-K,2026-02-18,2025-12-31,0001410636-26-000034,0001410636-26-000034:awk-20251231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1410636/000141063626000034/0001410636-26-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1410636/000141063626000034/awk-20251231.htm,utility_only,"17; fair market value, while providing the company with increased opportunity to recover the purchase price over the life of the purchased system assets, subject to puc approval. consolidated utility tariffs use a unified rate structure for systems owned and operated by a single utility, which may or may not be physically interconnected. consolidated tariff pricing&#160;moderates the impact of periodic",
CenterPoint Energy,CNP,1130310,Utilities,8-K,2026-03-19,2026-03-19,0001130310-26-000021,0001130310-26-000021:a992financialandoperatio.htm,EX-99.2,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000021/0001130310-26-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000021/a992financialandoperatio.htm,utility_only,"ility cost and revenue adjustment (rcra) and miso cost and revenue adjustment (mcra). miso charges include specific charges under the miso&#8217;s federal energy regulatory commission (ferc) approved tariff for items such as reactive power, scheduling, and transmission network charges that are socialized among various miso members. reliability costs and revenues include non-fuel costs of purchased power",
CenterPoint Energy,CNP,1130310,Utilities,8-K,2025-03-18,2025-03-18,0001130310-25-000065,0001130310-25-000065:a992financialandoperatio.htm,EX-99.2,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000065/0001130310-25-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000065/a992financialandoperatio.htm,utility_only,"ervation and recovery act of 1976 (rcra) and miso cost and revenue adjustment (mcra). miso charges include specific charges under the miso&#8217;s federal energy regulatory commission (ferc) approved tariff for items such as reactive power, scheduling, and transmission network charges that are socialized among various miso members. reliability costs and revenues include non-fuel costs of purchased power",
CenterPoint Energy,CNP,1130310,Utilities,8-K,2025-03-18,2025-03-18,0001130310-25-000065,0001130310-25-000065:a991reportingpackageofso.htm,EX-99.1,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000065/0001130310-25-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000065/a991reportingpackageofso.htm,utility_only,"d as electric utility revenues on the company's statements of consolidated income. on occasion, prior period transactions are resettled outside the routine process due to a change in the miso&#8217;s tariff or a material interpretation thereof. expenses associated with resettlements are recorded once the resettlement is probable and the resettlement amount can be estimated. revenues associated with rese",
CMS Energy,CMS,811156,Utilities,8-K,2026-04-28,2026-04-28,0001104659-26-049718,0001104659-26-049718:tm2612873d1_ex99-2.htm,EX-99.2,https://www.sec.gov/Archives/edgar/data/811156/000110465926049718/0001104659-26-049718-index.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465926049718/tm2612873d1_ex99-2.htm,utility_only,ive (district 10) jocelyn benson (d) secretary of state mike duggan (i) former detroit mayor gubernatorial race focus &#8226; growth enabler in the state &#8226; energy ready sites &#8226; large load tariff &#8226; legislative reform &#8226; state personal property tax reform &#8226; reducing regulatory burdens on businesses that drive costs &#8226; expansion of bill assistance programs &#8226; includin,
Consolidated Edison,ED,1047862,Utilities,10-K,2025-02-20,2024-12-31,0001047862-25-000011,0001047862-25-000011:ed-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1047862/000104786225000011/0001047862-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786225000011/ed-20241231.htm,utility_only,s are not recoverable from customers. utilities may petition the nyspsc to request a waiver of the requirement that it compensate customers after widespread prolonged outages. cecony&#8217;s electric tariff requires it to also con edison annual report 2024 17 &#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; compensate customers for certain other service outages resulting from malfunctions in the company,
Consolidated Edison,ED,1047862,Utilities,10-K,2026-02-19,2025-12-31,0001047862-26-000031,0001047862-26-000031:ed-20251231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/0001047862-26-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/ed-20251231.htm,utility_only,s are not recoverable from customers. utilities may petition the nyspsc to request a waiver of the requirement that it compensate customers after widespread prolonged outages. cecony&#8217;s electric tariff requires it to also con edison annual report 2025 17 &#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; compensate customers for certain other service outages resulting from malfunctions in the co mpan,
Constellation Energy,CEG,1868275,Utilities,8-K,2025-05-06,2025-05-06,0001868275-25-000040,0001868275-25-000040:ceg-20250506992.htm,EX-99.2,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000040/0001868275-25-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000040/ceg-20250506992.htm,utility_only,"cgt online in 2030. tariff impact assumes up to a 25% tariff on 50% of project cost. (3) lcoe for hybrid: solar + 4hr storage based on regional average cost est. of $2,500 / kw placed online in 2030. tariff impact assumes up to a 50% tariff on 70% of project costs. cost of new build tariffs pjm w forwards nihub forwards ercot forwards $88 $122 cost and lead time for critical equipment continues to grow",
